Id,p,job,A12,OnlineSurveyStatus,InviteSent,sys_EndTime,OnlineCompletionTime,tot_hour_diff
AA2200-4R22204117216229c_9078_20220915,7216229c,Recontact2+Resend,1,5,2022-09-15 18:00:03.843,28/09/2022 06:17,2022-09-28 16:17:00,310.2822658333333
AA2200-5i2205176559079e_21641_20221003,6559079e,Panel,0,5,2022-10-03 14:00:08.130,3/10/2022 03:41,2022-10-03 13:41:00,-0.318925
AA2200-5i2205177290877b_21540_20221003,7290877b,Panel,0,5,2022-10-03 16:00:04.367,3/10/2022 05:27,2022-10-03 15:27:00,-0.5512130555555556
AA2200-5i2205177705558c_21642_20221003,7705558c,Panel,0,5,2022-10-03 16:00:06.383,3/10/2022 05:24,2022-10-03 15:24:00,-0.6017730555555556
AA2200-5i2205177794709d_22948_20221014,7794709d,Panel,0,5,2022-10-14 13:00:04.137,20/10/2022 21:50,2022-10-21 07:50:00,162.83218416666668
C1305i1711155985541e_2236_20220930,5985541e,Panel,0,4,2022-09-30 13:00:07.980,30/09/2022 04:13,2022-09-30 14:13:00,1.21445
C1311i1805187269756a_4710_20220921,7269756a,Panel,0,5,2022-09-21 12:00:09.210,28/09/2022 02:30,2022-09-28 12:30:00,168.49744166666667
D6708i2002186250899d_12701_20221021,6250899d,Panel,0,5,2022-10-21 14:00:04.227,24/10/2022 06:39,2022-10-24 16:39:00,74.64882583333333
D6709i2003187061729e_13185_20220930,7061729e,Panel,0,5,2022-09-30 15:00:07.790,30/09/2022 22:37,2022-10-01 08:37:00,17.614502777777776
D6709i2003187422718d_13916_20221013,7422718d,Panel,0,5,2022-10-13 17:00:03.620,23/10/2022 23:23,2022-10-24 09:23:00,256.3823277777778
D6710i2004147008078c_15378_20221003,7008078c,Panel,0,5,2022-10-03 13:00:05.580,3/10/2022 03:40,2022-10-03 13:40:00,0.6651166666666667
D6712R22006164281874b_997_20220912,4281874b,Recontact2+Resend,7,5,2022-09-12 13:00:07.593,6/10/2022 20:46,2022-10-07 06:46:00,593.7645575
E3101R22007146706921a_1443_20221025,6706921a,Recontact2+Resend,7,5,2022-10-25 14:00:04.370,25/10/2022 21:41,2022-10-26 07:41:00,17.682119444444446
E3102i2207181873513b_23186_20221027,1873513b,Panel,0,5,2022-10-27 13:00:08.390,27/10/2022 04:29,2022-10-27 14:29:00,1.4810027777777777
E3103i2009155204045d_14398_20221014,5204045d,Panel,0,5,2022-10-14 14:00:03.210,14/10/2022 11:40,2022-10-14 21:40:00,7.665775
E3107i2101193901652f_16967_20221013,3901652f,Panel,0,5,2022-10-13 12:00:02.837,13/10/2022 05:40,2022-10-13 15:40:00,3.6658786111111112
E3108i2102161060437l_16591_20221014,1060437l,Panel,0,5,2022-10-14 17:00:05.300,17/10/2022 01:48,2022-10-17 11:48:00,66.79852777777778
E3113i2107201327337c_19035_20221026,1327337c,Panel,0,5,2022-10-26 13:00:05.117,26/10/2022 02:46,2022-10-26 12:46:00,-0.2347547222222222
E3116i2110207330370b_22945_20221014,7330370b,Panel,0,5,2022-10-14 13:00:08.000,14/10/2022 02:57,2022-10-14 12:57:00,-0.052222222222222225
